id_usuario,nombre_completo,email,telefono,modulo_dr041,activo,created_at
66dc7715-a8ed-48c7-908b-83f76b01312e,Ramón Valenzuela,ramon.valenzuela000@dr041-dev.com,+526441803258,Módulo 4,True,2025-01-22T16:57:03+00:00
641616f1-6d0a-4fa6-9a0a-29c1bb2d84a6,María Fernández,maria.fernandez001@dr041-dev.com,+526448727380,Módulo 1,True,2024-12-22T23:17:03+00:00
d04b7eb5-cb55-46ff-94f2-cf982296b5b2,Juan Carlos Ortiz,juan.carlos.ortiz002@dr041-dev.com,+526445738310,Módulo 5,True,2024-11-25T08:39:03+00:00
4dfb1bcc-997a-41a2-825d-78c9fc95044d,Luis Miranda,luis.miranda003@dr041-dev.com,+526448074577,Módulo 3,True,2026-02-05T06:55:03+00:00
eef355b8-2cc5-4979-8c38-150728a4e340,Rosa Herrera,rosa.herrera004@dr041-dev.com,+526445503166,Módulo 2,True,2025-12-28T04:36:03+00:00
bec519f0-27d3-40aa-8702-3f9daf62b70e,Jesús Soto,jesus.soto005@dr041-dev.com,+526446794785,Módulo 3,True,2024-09-23T13:56:03+00:00
dbb7ddd7-c750-4d47-90f6-6106783ab3db,Guadalupe Ríos,guadalupe.rios006@dr041-dev.com,+526445054135,Módulo 2,True,2026-03-03T13:29:03+00:00
d19da600-9b60-4031-9214-2a167ddb3898,Alejandro Castillo,alejandro.castillo007@dr041-dev.com,+526441574355,Módulo 5,True,2024-09-20T20:45:03+00:00
774d6b2a-61bc-4796-81e5-b039bdfbd52c,Norma Reyes,norma.reyes008@dr041-dev.com,+526442487061,Módulo 4,True,2024-12-20T19:18:03+00:00
4b54daf2-987b-4059-a1b6-5e2a1983d28c,Sergio Bojórquez,sergio.bojorquez009@dr041-dev.com,+526449736281,Módulo 3,True,2024-08-03T10:36:03+00:00
97a9f5b0-041d-4739-b285-4c44ef5237dd,Patricia Durán,patricia.duran010@dr041-dev.com,+526447839094,Módulo 1,True,2025-08-19T15:53:03+00:00
509ee27a-8116-4eaa-98a3-9d998dd8278d,Humberto Lugo,humberto.lugo011@dr041-dev.com,+526441394233,Módulo 3,True,2026-01-17T09:42:03+00:00
86da88b3-dbc3-4bdf-89ec-0d84cbf360fe,Claudia Navarro,claudia.navarro012@dr041-dev.com,+526449302749,Módulo 4,True,2025-08-18T03:58:03+00:00
77890133-fd37-4e83-b67d-0a80b3e059ca,Ernesto Zamora,ernesto.zamora013@dr041-dev.com,+526443932427,Módulo 5,True,2025-08-16T01:54:03+00:00
3df7dd0d-8656-4a87-9657-e5b6465bf9fd,Beatriz Gaxiola,beatriz.gaxiola014@dr041-dev.com,+526448161118,Módulo 1,True,2025-06-09T23:41:03+00:00
4825ddd9-00a0-4e92-8e03-a51ab3f4bf90,Francisco Acosta,francisco.acosta015@dr041-dev.com,+526445281343,Módulo 2,True,2025-11-26T13:42:03+00:00
a1774f72-bc2b-4778-a19e-ffa60bb66546,Silvia Ibarra,silvia.ibarra016@dr041-dev.com,+526449462753,Módulo 3,True,2026-01-13T07:45:03+00:00
e73fae46-c970-49ed-87a3-9e2011e419e4,Raúl Monge,raul.monge017@dr041-dev.com,+526447302385,Módulo 1,True,2025-09-26T08:33:03+00:00
c715a03e-8a15-48da-a4a6-54a73357d2fe,Leticia Romo,leticia.romo018@dr041-dev.com,+526444916949,Módulo 5,True,2024-09-09T17:29:03+00:00
2a1c9933-05eb-47d2-9471-3889598f0772,Miguel Parra,miguel.parra019@dr041-dev.com,+526443594952,Módulo 2,True,2025-01-02T12:14:03+00:00
